,examples,label,bin
130,<|endoftext|>The androgen,nouns,1
131,<|endoftext|> androgen,nouns,1
132,<|endoftext|>The cameramen,nouns,1
133,<|endoftext|> cameramen,nouns,1
134,<|endoftext|>The godfather,nouns,1
135,<|endoftext|> godfather,nouns,1
136,<|endoftext|>The strongman,nouns,1
137,<|endoftext|> strongman,nouns,1
138,<|endoftext|>The god,nouns,1
139,<|endoftext|> god,nouns,1
140,<|endoftext|>The patriarch,nouns,1
141,<|endoftext|> patriarch,nouns,1
142,<|endoftext|>The uncle,nouns,1
143,<|endoftext|> uncle,nouns,1
144,<|endoftext|>The chairmen,nouns,1
145,<|endoftext|> chairmen,nouns,1
146,<|endoftext|>The brotherhood,nouns,1
147,<|endoftext|> brotherhood,nouns,1
148,<|endoftext|>The host,nouns,1
149,<|endoftext|> host,nouns,1
150,<|endoftext|>The husband,nouns,1
151,<|endoftext|> husband,nouns,1
152,<|endoftext|>The dad,nouns,1
153,<|endoftext|> dad,nouns,1
154,<|endoftext|>The steward,nouns,1
155,<|endoftext|> steward,nouns,1
156,<|endoftext|>The males,nouns,1
157,<|endoftext|> males,nouns,1
158,<|endoftext|>The spokesmen,nouns,1
159,<|endoftext|> spokesmen,nouns,1
160,<|endoftext|>The pa,nouns,1
161,<|endoftext|> pa,nouns,1
162,<|endoftext|>The beau,nouns,1
163,<|endoftext|> beau,nouns,1
164,<|endoftext|>The stud,nouns,1
165,<|endoftext|> stud,nouns,1
166,<|endoftext|>The bachelor,nouns,1
167,<|endoftext|> bachelor,nouns,1
168,<|endoftext|>The wizard,nouns,1
169,<|endoftext|> wizard,nouns,1
170,<|endoftext|>The sir,nouns,1
171,<|endoftext|> sir,nouns,1
172,<|endoftext|>The nephews,nouns,1
173,<|endoftext|> nephews,nouns,1
174,<|endoftext|>The bull,nouns,1
175,<|endoftext|> bull,nouns,1
176,<|endoftext|>The beaus,nouns,1
177,<|endoftext|> beaus,nouns,1
178,<|endoftext|>The councilmen,nouns,1
179,<|endoftext|> councilmen,nouns,1
180,<|endoftext|>The landlords,nouns,1
181,<|endoftext|> landlords,nouns,1
182,<|endoftext|>The grandson,nouns,1
183,<|endoftext|> grandson,nouns,1
184,<|endoftext|>The fiances,nouns,1
185,<|endoftext|> fiances,nouns,1
186,<|endoftext|>The stepfathers,nouns,1
187,<|endoftext|> stepfathers,nouns,1
188,<|endoftext|>The horsemen,nouns,1
189,<|endoftext|> horsemen,nouns,1
190,<|endoftext|>The grandfathers,nouns,1
191,<|endoftext|> grandfathers,nouns,1
192,<|endoftext|>The schoolboy,nouns,1
193,<|endoftext|> schoolboy,nouns,1
194,<|endoftext|>The rooster,nouns,1
195,<|endoftext|> rooster,nouns,1
196,<|endoftext|>The grandsons,nouns,1
197,<|endoftext|> grandsons,nouns,1
198,<|endoftext|>The bachelor,nouns,1
199,<|endoftext|> bachelor,nouns,1
200,<|endoftext|>The cameraman,nouns,1
201,<|endoftext|> cameraman,nouns,1
202,<|endoftext|>The dads,nouns,1
203,<|endoftext|> dads,nouns,1
204,<|endoftext|>The master,nouns,1
205,<|endoftext|> master,nouns,1
206,<|endoftext|>The lad,nouns,1
207,<|endoftext|> lad,nouns,1
208,<|endoftext|>The policeman,nouns,1
209,<|endoftext|> policeman,nouns,1
210,<|endoftext|>The monk,nouns,1
211,<|endoftext|> monk,nouns,1
212,<|endoftext|>The actors,nouns,1
213,<|endoftext|> actors,nouns,1
214,<|endoftext|>The salesmen,nouns,1
215,<|endoftext|> salesmen,nouns,1
216,<|endoftext|>The boyfriend,nouns,1
217,<|endoftext|> boyfriend,nouns,1
218,<|endoftext|>The councilman,nouns,1
219,<|endoftext|> councilman,nouns,1
220,<|endoftext|>The fella,nouns,1
221,<|endoftext|> fella,nouns,1
222,<|endoftext|>The statesman,nouns,1
223,<|endoftext|> statesman,nouns,1
224,<|endoftext|>The paternal,nouns,1
225,<|endoftext|> paternal,nouns,1
226,<|endoftext|>The chap,nouns,1
227,<|endoftext|> chap,nouns,1
228,<|endoftext|>The landlord,nouns,1
229,<|endoftext|> landlord,nouns,1
230,<|endoftext|>The brethren,nouns,1
231,<|endoftext|> brethren,nouns,1
232,<|endoftext|>The lords,nouns,1
233,<|endoftext|> lords,nouns,1
234,<|endoftext|>The bellboy,nouns,1
235,<|endoftext|> bellboy,nouns,1
236,<|endoftext|>The duke,nouns,1
237,<|endoftext|> duke,nouns,1
238,<|endoftext|>The ballet dancer,nouns,1
239,<|endoftext|> ballet dancer,nouns,1
240,<|endoftext|>The dudes,nouns,1
241,<|endoftext|> dudes,nouns,1
242,<|endoftext|>The fiance,nouns,1
243,<|endoftext|> fiance,nouns,1
244,<|endoftext|>The colts,nouns,1
245,<|endoftext|> colts,nouns,1
246,<|endoftext|>The husbands,nouns,1
247,<|endoftext|> husbands,nouns,1
248,<|endoftext|>The suitor,nouns,1
249,<|endoftext|> suitor,nouns,1
250,<|endoftext|>The businessman,nouns,1
251,<|endoftext|> businessman,nouns,1
252,<|endoftext|>The masseurs,nouns,1
253,<|endoftext|> masseurs,nouns,1
254,<|endoftext|>The hero,nouns,1
255,<|endoftext|> hero,nouns,1
256,<|endoftext|>The deer,nouns,1
257,<|endoftext|> deer,nouns,1
258,<|endoftext|>The busboys,nouns,1
259,<|endoftext|> busboys,nouns,1
260,<|endoftext|>The boyfriends,nouns,1
261,<|endoftext|> boyfriends,nouns,1
262,<|endoftext|>The kings,nouns,1
263,<|endoftext|> kings,nouns,1
264,<|endoftext|>The brothers,nouns,1
265,<|endoftext|> brothers,nouns,1
266,<|endoftext|>The masters,nouns,1
267,<|endoftext|> masters,nouns,1
268,<|endoftext|>The stepfather,nouns,1
269,<|endoftext|> stepfather,nouns,1
270,<|endoftext|>The grooms,nouns,1
271,<|endoftext|> grooms,nouns,1
272,<|endoftext|>The son,nouns,1
273,<|endoftext|> son,nouns,1
274,<|endoftext|>The studs,nouns,1
275,<|endoftext|> studs,nouns,1
276,<|endoftext|>The cowboy,nouns,1
277,<|endoftext|> cowboy,nouns,1
278,<|endoftext|>The mentleman,nouns,1
279,<|endoftext|> mentleman,nouns,1
280,<|endoftext|>The sons,nouns,1
281,<|endoftext|> sons,nouns,1
282,<|endoftext|>The baritone,nouns,1
283,<|endoftext|> baritone,nouns,1
284,<|endoftext|>The salesman,nouns,1
285,<|endoftext|> salesman,nouns,1
286,<|endoftext|>The paramour,nouns,1
287,<|endoftext|> paramour,nouns,1
288,<|endoftext|>The male_host,nouns,1
289,<|endoftext|> male_host,nouns,1
290,<|endoftext|>The monks,nouns,1
291,<|endoftext|> monks,nouns,1
292,<|endoftext|>The menservants,nouns,1
293,<|endoftext|> menservants,nouns,1
294,<|endoftext|>The headmasters,nouns,1
295,<|endoftext|> headmasters,nouns,1
296,<|endoftext|>The lads,nouns,1
297,<|endoftext|> lads,nouns,1
298,<|endoftext|>The congressman,nouns,1
299,<|endoftext|> congressman,nouns,1
300,<|endoftext|>The airman,nouns,1
301,<|endoftext|> airman,nouns,1
302,<|endoftext|>The househusband,nouns,1
303,<|endoftext|> househusband,nouns,1
304,<|endoftext|>The priest,nouns,1
305,<|endoftext|> priest,nouns,1
306,<|endoftext|>The barmen,nouns,1
307,<|endoftext|> barmen,nouns,1
308,<|endoftext|>The barons,nouns,1
309,<|endoftext|> barons,nouns,1
310,<|endoftext|>The handyman,nouns,1
311,<|endoftext|> handyman,nouns,1
312,<|endoftext|>The beard,nouns,1
313,<|endoftext|> beard,nouns,1
314,<|endoftext|>The stewards,nouns,1
315,<|endoftext|> stewards,nouns,1
316,<|endoftext|>The colt,nouns,1
317,<|endoftext|> colt,nouns,1
318,<|endoftext|>The czar,nouns,1
319,<|endoftext|> czar,nouns,1
320,<|endoftext|>The stepsons,nouns,1
321,<|endoftext|> stepsons,nouns,1
322,<|endoftext|>The boys,nouns,1
323,<|endoftext|> boys,nouns,1
324,<|endoftext|>The lions,nouns,1
325,<|endoftext|> lions,nouns,1
326,<|endoftext|>The gentleman,nouns,1
327,<|endoftext|> gentleman,nouns,1
328,<|endoftext|>The masseur,nouns,1
329,<|endoftext|> masseur,nouns,1
330,<|endoftext|>The bulls,nouns,1
331,<|endoftext|> bulls,nouns,1
332,<|endoftext|>The uncles,nouns,1
333,<|endoftext|> uncles,nouns,1
334,<|endoftext|>The bloke,nouns,1
335,<|endoftext|> bloke,nouns,1
336,<|endoftext|>The beards,nouns,1
337,<|endoftext|> beards,nouns,1
338,<|endoftext|>The hubby,nouns,1
339,<|endoftext|> hubby,nouns,1
340,<|endoftext|>The lion,nouns,1
341,<|endoftext|> lion,nouns,1
342,<|endoftext|>The sorcerer,nouns,1
343,<|endoftext|> sorcerer,nouns,1
344,<|endoftext|>The father,nouns,1
345,<|endoftext|> father,nouns,1
346,<|endoftext|>The males,nouns,1
347,<|endoftext|> males,nouns,1
348,<|endoftext|>The waiters,nouns,1
349,<|endoftext|> waiters,nouns,1
350,<|endoftext|>The stepson,nouns,1
351,<|endoftext|> stepson,nouns,1
352,<|endoftext|>The businessmen,nouns,1
353,<|endoftext|> businessmen,nouns,1
354,<|endoftext|>The heir,nouns,1
355,<|endoftext|> heir,nouns,1
356,<|endoftext|>The waiter,nouns,1
357,<|endoftext|> waiter,nouns,1
358,<|endoftext|>The headmaster,nouns,1
359,<|endoftext|> headmaster,nouns,1
360,<|endoftext|>The man,nouns,1
361,<|endoftext|> man,nouns,1
362,<|endoftext|>The governor,nouns,1
363,<|endoftext|> governor,nouns,1
364,<|endoftext|>The god,nouns,1
365,<|endoftext|> god,nouns,1
366,<|endoftext|>The bridegroom,nouns,1
367,<|endoftext|> bridegroom,nouns,1
368,<|endoftext|>The grandpa,nouns,1
369,<|endoftext|> grandpa,nouns,1
370,<|endoftext|>The groom,nouns,1
371,<|endoftext|> groom,nouns,1
372,<|endoftext|>The dude,nouns,1
373,<|endoftext|> dude,nouns,1
374,<|endoftext|>The gents,nouns,1
375,<|endoftext|> gents,nouns,1
376,<|endoftext|>The boy,nouns,1
377,<|endoftext|> boy,nouns,1
378,<|endoftext|>The grandfather,nouns,1
379,<|endoftext|> grandfather,nouns,1
380,<|endoftext|>The gelding,nouns,1
381,<|endoftext|> gelding,nouns,1
382,<|endoftext|>The paternity,nouns,1
383,<|endoftext|> paternity,nouns,1
384,<|endoftext|>The roosters,nouns,1
385,<|endoftext|> roosters,nouns,1
386,<|endoftext|>The priests,nouns,1
387,<|endoftext|> priests,nouns,1
388,<|endoftext|>The manservants,nouns,1
389,<|endoftext|> manservants,nouns,1
390,<|endoftext|>The busboy,nouns,1
391,<|endoftext|> busboy,nouns,1
392,<|endoftext|>The heros,nouns,1
393,<|endoftext|> heros,nouns,1
394,<|endoftext|>The fraternal,nouns,1
395,<|endoftext|> fraternal,nouns,1
396,<|endoftext|>The adultry,nouns,1
397,<|endoftext|> adultry,nouns,1
398,<|endoftext|>The fraternity,nouns,1
399,<|endoftext|> fraternity,nouns,1
400,<|endoftext|>The fraternities,nouns,1
401,<|endoftext|> fraternities,nouns,1
402,<|endoftext|>The tailors,nouns,1
403,<|endoftext|> tailors,nouns,1
404,<|endoftext|>The abbots,nouns,1
405,<|endoftext|> abbots,nouns,1
406,<|endoftext|>The countrywoman,nouns,-1
407,<|endoftext|> countrywoman,nouns,-1
408,<|endoftext|>The witches,nouns,-1
409,<|endoftext|> witches,nouns,-1
410,<|endoftext|>The maidservant,nouns,-1
411,<|endoftext|> maidservant,nouns,-1
412,<|endoftext|>The mothers,nouns,-1
413,<|endoftext|> mothers,nouns,-1
414,<|endoftext|>The diva,nouns,-1
415,<|endoftext|> diva,nouns,-1
416,<|endoftext|>The actress,nouns,-1
417,<|endoftext|> actress,nouns,-1
418,<|endoftext|>The spinster,nouns,-1
419,<|endoftext|> spinster,nouns,-1
420,<|endoftext|>The mama,nouns,-1
421,<|endoftext|> mama,nouns,-1
422,<|endoftext|>The duchesses,nouns,-1
423,<|endoftext|> duchesses,nouns,-1
424,<|endoftext|>The barwoman,nouns,-1
425,<|endoftext|> barwoman,nouns,-1
426,<|endoftext|>The countrywomen,nouns,-1
427,<|endoftext|> countrywomen,nouns,-1
428,<|endoftext|>The dowry,nouns,-1
429,<|endoftext|> dowry,nouns,-1
430,<|endoftext|>The hostesses,nouns,-1
431,<|endoftext|> hostesses,nouns,-1
432,<|endoftext|>The airwomen,nouns,-1
433,<|endoftext|> airwomen,nouns,-1
434,<|endoftext|>The princess,nouns,-1
435,<|endoftext|> princess,nouns,-1
436,<|endoftext|>The governesses,nouns,-1
437,<|endoftext|> governesses,nouns,-1
438,<|endoftext|>The abbess,nouns,-1
439,<|endoftext|> abbess,nouns,-1
440,<|endoftext|>The women,nouns,-1
441,<|endoftext|> women,nouns,-1
442,<|endoftext|>The widow,nouns,-1
443,<|endoftext|> widow,nouns,-1
444,<|endoftext|>The ladies,nouns,-1
445,<|endoftext|> ladies,nouns,-1
446,<|endoftext|>The sorceresses,nouns,-1
447,<|endoftext|> sorceresses,nouns,-1
448,<|endoftext|>The brides,nouns,-1
449,<|endoftext|> brides,nouns,-1
450,<|endoftext|>The baroness,nouns,-1
451,<|endoftext|> baroness,nouns,-1
452,<|endoftext|>The housewives,nouns,-1
453,<|endoftext|> housewives,nouns,-1
454,<|endoftext|>The goddesses,nouns,-1
455,<|endoftext|> goddesses,nouns,-1
456,<|endoftext|>The niece,nouns,-1
457,<|endoftext|> niece,nouns,-1
458,<|endoftext|>The widows,nouns,-1
459,<|endoftext|> widows,nouns,-1
460,<|endoftext|>The lady,nouns,-1
461,<|endoftext|> lady,nouns,-1
462,<|endoftext|>The sister,nouns,-1
463,<|endoftext|> sister,nouns,-1
464,<|endoftext|>The brides,nouns,-1
465,<|endoftext|> brides,nouns,-1
466,<|endoftext|>The nun,nouns,-1
467,<|endoftext|> nun,nouns,-1
468,<|endoftext|>The bellgirls,nouns,-1
469,<|endoftext|> bellgirls,nouns,-1
470,<|endoftext|>The marchioness,nouns,-1
471,<|endoftext|> marchioness,nouns,-1
472,<|endoftext|>The princesses,nouns,-1
473,<|endoftext|> princesses,nouns,-1
474,<|endoftext|>The empresses,nouns,-1
475,<|endoftext|> empresses,nouns,-1
476,<|endoftext|>The mare,nouns,-1
477,<|endoftext|> mare,nouns,-1
478,<|endoftext|>The chairwoman,nouns,-1
479,<|endoftext|> chairwoman,nouns,-1
480,<|endoftext|>The convent,nouns,-1
481,<|endoftext|> convent,nouns,-1
482,<|endoftext|>The priestesses,nouns,-1
483,<|endoftext|> priestesses,nouns,-1
484,<|endoftext|>The girlhood,nouns,-1
485,<|endoftext|> girlhood,nouns,-1
486,<|endoftext|>The ladies,nouns,-1
487,<|endoftext|> ladies,nouns,-1
488,<|endoftext|>The queen,nouns,-1
489,<|endoftext|> queen,nouns,-1
490,<|endoftext|>The gals,nouns,-1
491,<|endoftext|> gals,nouns,-1
492,<|endoftext|>The mommies,nouns,-1
493,<|endoftext|> mommies,nouns,-1
494,<|endoftext|>The maid,nouns,-1
495,<|endoftext|> maid,nouns,-1
496,<|endoftext|>The spokeswoman,nouns,-1
497,<|endoftext|> spokeswoman,nouns,-1
498,<|endoftext|>The seamstress,nouns,-1
499,<|endoftext|> seamstress,nouns,-1
500,<|endoftext|>The cowgirls,nouns,-1
501,<|endoftext|> cowgirls,nouns,-1
502,<|endoftext|>The chick,nouns,-1
503,<|endoftext|> chick,nouns,-1
504,<|endoftext|>The spinsters,nouns,-1
505,<|endoftext|> spinsters,nouns,-1
506,<|endoftext|>The empress,nouns,-1
507,<|endoftext|> empress,nouns,-1
508,<|endoftext|>The mommy,nouns,-1
509,<|endoftext|> mommy,nouns,-1
510,<|endoftext|>The feminism,nouns,-1
511,<|endoftext|> feminism,nouns,-1
512,<|endoftext|>The gals,nouns,-1
513,<|endoftext|> gals,nouns,-1
514,<|endoftext|>The enchantress,nouns,-1
515,<|endoftext|> enchantress,nouns,-1
516,<|endoftext|>The gal,nouns,-1
517,<|endoftext|> gal,nouns,-1
518,<|endoftext|>The motherhood,nouns,-1
519,<|endoftext|> motherhood,nouns,-1
520,<|endoftext|>The estrogen,nouns,-1
521,<|endoftext|> estrogen,nouns,-1
522,<|endoftext|>The camerawomen,nouns,-1
523,<|endoftext|> camerawomen,nouns,-1
524,<|endoftext|>The godmother,nouns,-1
525,<|endoftext|> godmother,nouns,-1
526,<|endoftext|>The strongwoman,nouns,-1
527,<|endoftext|> strongwoman,nouns,-1
528,<|endoftext|>The goddess,nouns,-1
529,<|endoftext|> goddess,nouns,-1
530,<|endoftext|>The matriarch,nouns,-1
531,<|endoftext|> matriarch,nouns,-1
532,<|endoftext|>The aunt,nouns,-1
533,<|endoftext|> aunt,nouns,-1
534,<|endoftext|>The chairwomen,nouns,-1
535,<|endoftext|> chairwomen,nouns,-1
536,<|endoftext|>The sisterhood,nouns,-1
537,<|endoftext|> sisterhood,nouns,-1
538,<|endoftext|>The hostess,nouns,-1
539,<|endoftext|> hostess,nouns,-1
540,<|endoftext|>The wife,nouns,-1
541,<|endoftext|> wife,nouns,-1
542,<|endoftext|>The mom,nouns,-1
543,<|endoftext|> mom,nouns,-1
544,<|endoftext|>The stewardess,nouns,-1
545,<|endoftext|> stewardess,nouns,-1
546,<|endoftext|>The females,nouns,-1
547,<|endoftext|> females,nouns,-1
548,<|endoftext|>The spokeswomen,nouns,-1
549,<|endoftext|> spokeswomen,nouns,-1
550,<|endoftext|>The ma,nouns,-1
551,<|endoftext|> ma,nouns,-1
552,<|endoftext|>The belle,nouns,-1
553,<|endoftext|> belle,nouns,-1
554,<|endoftext|>The minx,nouns,-1
555,<|endoftext|> minx,nouns,-1
556,<|endoftext|>The maiden,nouns,-1
557,<|endoftext|> maiden,nouns,-1
558,<|endoftext|>The witch,nouns,-1
559,<|endoftext|> witch,nouns,-1
560,<|endoftext|>The miss,nouns,-1
561,<|endoftext|> miss,nouns,-1
562,<|endoftext|>The nieces,nouns,-1
563,<|endoftext|> nieces,nouns,-1
564,<|endoftext|>The mothered,nouns,-1
565,<|endoftext|> mothered,nouns,-1
566,<|endoftext|>The belles,nouns,-1
567,<|endoftext|> belles,nouns,-1
568,<|endoftext|>The councilwomen,nouns,-1
569,<|endoftext|> councilwomen,nouns,-1
570,<|endoftext|>The landladies,nouns,-1
571,<|endoftext|> landladies,nouns,-1
572,<|endoftext|>The granddaughter,nouns,-1
573,<|endoftext|> granddaughter,nouns,-1
574,<|endoftext|>The fiancees,nouns,-1
575,<|endoftext|> fiancees,nouns,-1
576,<|endoftext|>The stepmothers,nouns,-1
577,<|endoftext|> stepmothers,nouns,-1
578,<|endoftext|>The horsewomen,nouns,-1
579,<|endoftext|> horsewomen,nouns,-1
580,<|endoftext|>The grandmothers,nouns,-1
581,<|endoftext|> grandmothers,nouns,-1
582,<|endoftext|>The schoolgirl,nouns,-1
583,<|endoftext|> schoolgirl,nouns,-1
584,<|endoftext|>The hen,nouns,-1
585,<|endoftext|> hen,nouns,-1
586,<|endoftext|>The granddaughters,nouns,-1
587,<|endoftext|> granddaughters,nouns,-1
588,<|endoftext|>The bachelorette,nouns,-1
589,<|endoftext|> bachelorette,nouns,-1
590,<|endoftext|>The camerawoman,nouns,-1
591,<|endoftext|> camerawoman,nouns,-1
592,<|endoftext|>The moms,nouns,-1
593,<|endoftext|> moms,nouns,-1
594,<|endoftext|>The mistress,nouns,-1
595,<|endoftext|> mistress,nouns,-1
596,<|endoftext|>The lass,nouns,-1
597,<|endoftext|> lass,nouns,-1
598,<|endoftext|>The policewoman,nouns,-1
599,<|endoftext|> policewoman,nouns,-1
600,<|endoftext|>The nun,nouns,-1
601,<|endoftext|> nun,nouns,-1
602,<|endoftext|>The actresses,nouns,-1
603,<|endoftext|> actresses,nouns,-1
604,<|endoftext|>The saleswomen,nouns,-1
605,<|endoftext|> saleswomen,nouns,-1
606,<|endoftext|>The girlfriend,nouns,-1
607,<|endoftext|> girlfriend,nouns,-1
608,<|endoftext|>The councilwoman,nouns,-1
609,<|endoftext|> councilwoman,nouns,-1
610,<|endoftext|>The lady,nouns,-1
611,<|endoftext|> lady,nouns,-1
612,<|endoftext|>The stateswoman,nouns,-1
613,<|endoftext|> stateswoman,nouns,-1
614,<|endoftext|>The maternal,nouns,-1
615,<|endoftext|> maternal,nouns,-1
616,<|endoftext|>The lass,nouns,-1
617,<|endoftext|> lass,nouns,-1
618,<|endoftext|>The landlady,nouns,-1
619,<|endoftext|> landlady,nouns,-1
620,<|endoftext|>The sistren,nouns,-1
621,<|endoftext|> sistren,nouns,-1
622,<|endoftext|>The duchess,nouns,-1
623,<|endoftext|> duchess,nouns,-1
624,<|endoftext|>The bellgirl,nouns,-1
625,<|endoftext|> bellgirl,nouns,-1
626,<|endoftext|>The duchess,nouns,-1
627,<|endoftext|> duchess,nouns,-1
628,<|endoftext|>The ballerina,nouns,-1
629,<|endoftext|> ballerina,nouns,-1
630,<|endoftext|>The chicks,nouns,-1
631,<|endoftext|> chicks,nouns,-1
632,<|endoftext|>The fiancee,nouns,-1
633,<|endoftext|> fiancee,nouns,-1
634,<|endoftext|>The fillies,nouns,-1
635,<|endoftext|> fillies,nouns,-1
636,<|endoftext|>The wives,nouns,-1
637,<|endoftext|> wives,nouns,-1
638,<|endoftext|>The suitress,nouns,-1
639,<|endoftext|> suitress,nouns,-1
640,<|endoftext|>The businesswoman,nouns,-1
641,<|endoftext|> businesswoman,nouns,-1
642,<|endoftext|>The masseuses,nouns,-1
643,<|endoftext|> masseuses,nouns,-1
644,<|endoftext|>The heroine,nouns,-1
645,<|endoftext|> heroine,nouns,-1
646,<|endoftext|>The doe,nouns,-1
647,<|endoftext|> doe,nouns,-1
648,<|endoftext|>The busgirls,nouns,-1
649,<|endoftext|> busgirls,nouns,-1
650,<|endoftext|>The girlfriends,nouns,-1
651,<|endoftext|> girlfriends,nouns,-1
652,<|endoftext|>The queens,nouns,-1
653,<|endoftext|> queens,nouns,-1
654,<|endoftext|>The sisters,nouns,-1
655,<|endoftext|> sisters,nouns,-1
656,<|endoftext|>The mistresses,nouns,-1
657,<|endoftext|> mistresses,nouns,-1
658,<|endoftext|>The stepmother,nouns,-1
659,<|endoftext|> stepmother,nouns,-1
660,<|endoftext|>The brides,nouns,-1
661,<|endoftext|> brides,nouns,-1
662,<|endoftext|>The daughter,nouns,-1
663,<|endoftext|> daughter,nouns,-1
664,<|endoftext|>The minxes,nouns,-1
665,<|endoftext|> minxes,nouns,-1
666,<|endoftext|>The cowgirl,nouns,-1
